0;152;5;563;537
0;123;9;563;537
0;284;28;563;537
0;484;42;563;537
0;11;51;563;537
0;193;101;563;537
0;238;118;563;537
0;469;134;563;537
0;228;162;563;537
0;331;182;563;537
0;160;188;563;537
0;107;196;563;537
0;341;219;563;537
0;2;236;563;537
0;444;240;563;537
0;70;244;563;537
0;25;270;563;537
0;188;272;563;537
0;395;290;563;537
0;468;291;563;537
0;247;312;563;537
0;488;315;563;537
0;321;326;563;537
0;441;327;563;537
0;302;333;563;537
0;353;355;563;537
0;88;373;563;537
0;213;373;563;537
0;66;379;563;537
0;312;398;563;537
0;89;403;563;537
0;460;406;563;537
0;305;412;563;537
0;268;418;563;537
0;359;423;563;537
0;418;438;563;537
0;10;439;563;537
0;516;440;563;537
0;197;480;563;537
0;290;488;563;537
0;233;499;563;537
0;273;526;563;537
0;436;528;563;537
